1679765391.1685069;129.250.9.5;129.250.7.43;6.228
1679765391.168568;129.250.7.43;129.250.5.42;6.382
1679765391.168628;23.183.245.161;69.25.116.17;151.484
1679765391.1686864;69.25.116.17;23.183.245.161;146.205
1679765391.1687486;23.183.245.161;69.25.116.17;153.3
1679765391.1688817;69.25.116.17;92.118.232.240;146.081
1679765417.4231393;213.136.75.1;62.115.171.180;0.805
1679765417.4233499;62.115.171.180;62.115.113.146;3.867
1679765417.4234192;62.115.113.146;62.115.124.117;3.799
1679765417.4235516;23.183.245.161;69.25.116.17;155.614
1679765417.4236503;69.25.116.17;23.183.245.161;143.729
1679765417.4237123;23.183.245.161;69.25.116.17;155.586
1679765417.42377;69.25.116.17;92.118.232.231;143.739
1679765450.8652565;213.136.75.1;62.115.33.118;0.773
1679765450.8653839;62.115.33.118;62.115.113.146;3.964
1679765450.8654811;62.115.113.146;62.115.123.13;11.96
1679765450.8656187;62.115.123.13;62.115.112.242;97.665
1679765450.8657064;62.115.112.242;62.115.137.39;156.167
1679765450.8657677;62.115.137.39;213.155.129.11;154.271
1679765450.8658457;213.155.129.11;83.97.21.63;199.994
1679765450.865906;83.97.21.63;146.70.0.101;199.93
1679765450.8660064;146.70.0.101;217.148.140.135;153.766
1679765485.5812907;213.136.75.1;62.115.33.118;0.797
1679765485.5814333;62.115.33.118;62.115.113.146;3.849
1679765485.5815;62.115.113.146;62.115.123.13;12.063
1679765485.5815694;62.115.123.13;62.115.112.242;98.058
1679765485.5816505;62.115.112.242;62.115.121.220;200.406
1679765485.5817413;62.115.121.220;62.115.155.15;151.794
1679765485.5818028;62.115.155.15;216.52.255.51;154.812
1679765485.5818627;216.52.255.51;69.88.129.106;152.303
1679765485.5819201;69.88.129.106;23.147.224.15;156.063
1679765485.5819855;23.147.224.15;45.83.22.134;155.002
1679765520.873385;213.136.75.1;62.115.33.118;0.801
1679765520.873542;62.115.33.118;62.115.113.146;3.839
1679765520.8736172;62.115.113.146;62.115.123.13;11.818
1679765520.8736827;62.115.123.13;62.115.112.242;97.87
1679765520.8737433;62.115.155.15;216.52.255.51;154.638
1679765520.873801;216.52.255.51;69.88.129.106;152.213
1679765520.8738582;69.88.129.106;23.147.224.15;159.818
1679765520.8739169;23.147.224.15;45.83.22.172;152.124
1679765555.6011055;213.136.75.1;62.115.33.118;0.79
1679765555.6013546;62.115.33.118;62.115.113.146;3.922
1679765555.6014674;62.115.113.146;62.115.123.13;11.927
1679765555.6015663;62.115.123.13;62.115.112.242;99.958
1679765555.601628;62.115.112.242;62.115.121.220;200.581
1679765555.6016965;62.115.121.220;62.115.155.15;154.467
1679765555.601817;62.115.155.15;216.52.255.51;157.414
1679765555.601886;216.52.255.51;69.88.129.106;154.872
1679765555.6019952;69.88.129.106;23.147.224.15;161.382
1679765555.6020975;23.147.224.15;45.83.22.164;154.924
1679765574.3536856;173.212.238.3;62.67.36.137;8.296
1679765574.353887;62.67.36.137;4.69.153.125;155.609
1679765574.3540215;4.69.153.125;4.26.0.186;154.016
1679765574.3541188;4.26.0.186;77.243.185.145;169.441
1679765574.354181;77.243.185.145;172.94.33.2;160.645
1679765603.7442136;213.136.75.1;62.115.171.180;0.82
1679765603.7444131;62.115.171.180;62.115.113.146;3.835
1679765603.7445376;62.115.113.146;62.115.123.13;11.894
